NOKMSS:MSA,,,,,
$operation,$dn,routingZone,locationAreaCode,SAC,nwName
,,,,,
,,,,,
,PLMN-PLMN/MSC-208606/RNW-1/MSA-10,97,12008,10,NAU00010
,PLMN-PLMN/MSC-208606/RNW-1/MSA-11,97,12008,11,NAU00011
,PLMN-PLMN/MSC-208606/RNW-1/MSA-111559,94,12010,41329,PAU41329
,PLMN-PLMN/MSC-208606/RNW-1/MSA-111560,94,12010,41330,PAU41330
,PLMN-PLMN/MSC-208606/RNW-1/MSA-111561,94,12010,41331,PAU41331
,PLMN-PLMN/MSC-208606/RNW-1/MSA-111562,94,12010,41332,PAU41332
,PLMN-PLMN/MSC-208606/RNW-1/MSA-111563,94,12010,41333,PAU41333
,PLMN-PLMN/MSC-208606/RNW-1/MSA-111564,94,12010,41334,PAU41334
,PLMN-PLMN/MSC-208606/RNW-1/MSA-111565,94,12010,41335,PAU41335
,PLMN-PLMN/MSC-208606/RNW-1/MSA-111566,94,12010,41336,PAU41336
,PLMN-PLMN/MSC-208606/RNW-1/MSA-111567,94,12010,41337,PAU41337
,PLMN-PLMN/MSC-208606/RNW-1/MSA-112311,94,12010,41305,PAU41305
,PLMN-PLMN/MSC-208606/RNW-1/MSA-112313,58,12010,41307,NAU41307
,PLMN-PLMN/MSC-208606/RNW-1/MSA-114225,58,13634,40400,NAU40400
,PLMN-PLMN/MSC-208606/RNW-1/MSA-114330,94,12010,41357,PAU41357
,PLMN-PLMN/MSC-208606/RNW-1/MSA-117338,94,12010,41309,PAU41309
,PLMN-PLMN/MSC-208606/RNW-1/MSA-117368,96,12002,41369,NAU41369
,PLMN-PLMN/MSC-208606/RNW-1/MSA-117369,96,12002,41370,NAU41370
,PLMN-PLMN/MSC-208606/RNW-1/MSA-117370,96,12002,41371,NAU41371
,PLMN-PLMN/MSC-208606/RNW-1/MSA-117371,96,12002,41372,NAU41372
,PLMN-PLMN/MSC-208606/RNW-1/MSA-117372,96,12002,41373,NAU41373
,PLMN-PLMN/MSC-208606/RNW-1/MSA-117373,96,12002,41374,NAU41374
,PLMN-PLMN/MSC-208606/RNW-1/MSA-117374,96,12002,41375,NAU41375
,PLMN-PLMN/MSC-208606/RNW-1/MSA-117375,96,12002,41376,NAU41376
,PLMN-PLMN/MSC-208606/RNW-1/MSA-117376,96,12002,41377,NAU41377
,PLMN-PLMN/MSC-208606/RNW-1/MSA-117377,96,12002,41378,NAU41378
,PLMN-PLMN/MSC-208606/RNW-1/MSA-117378,96,12002,41379,NAU41379
,PLMN-PLMN/MSC-208606/RNW-1/MSA-117379,96,12002,41380,NAU41380
,PLMN-PLMN/MSC-208606/RNW-1/MSA-118810,94,12010,41413,PAU41413
,PLMN-PLMN/MSC-208606/RNW-1/MSA-118811,94,12010,41414,PAU41414
,PLMN-PLMN/MSC-208606/RNW-1/MSA-118812,94,12010,41415,PAU41415
,PLMN-PLMN/MSC-208606/RNW-1/MSA-118813,94,12010,41416,PAU41416
,PLMN-PLMN/MSC-208606/RNW-1/MSA-118814,94,12010,41417,PAU41417
,PLMN-PLMN/MSC-208606/RNW-1/MSA-118815,94,12010,41418,PAU41418
